CROPS,SOIL_PH,TEMP,RELATIVE_HUMIDITY,N,P,K
rice,7.8,38.3,63.7,94.8,43.8,54.9
rice,5.5,25.3,60.6,94.4,52.2,40.8
rice,5.5,38.3,64.9,92.3,54,56.2
rice,7.3,32.1,71,82.2,55.2,41.3
rice,5.3,39.5,74.2,83,58.2,51.8
rice,6.8,25.6,71.5,96.4,51.4,43.3
rice,5.4,31.4,77.1,90.3,40.2,46.9
rice,7.6,32.5,72.9,92.2,56.3,46.4
rice,5.8,27.2,67.8,97.9,47.5,40.1
rice,5.6,39.3,74.3,80.4,53.1,42.3
rice,5.1,26,68.7,89.6,46.3,41.4
rice,6.4,22,77.2,98.6,59.2,42.8
rice,6.3,25.4,68.1,91.4,55.5,48.9
rice,7.4,26.3,68.6,82.6,42,51.5
rice,6.7,27.1,62.1,81.2,43.2,48.4
rice,6.8,34,78.8,91.5,52.4,53.2
rice,5.5,36.4,73.5,87.4,42.6,46.1
rice,5.8,31.4,60.4,82.9,57.1,58.8
rice,7.1,26,68.5,84.5,59.9,47.5
rice,7,31.6,60.7,95.2,41.9,57.9
rice,7.9,23.1,73.3,81.7,46.5,49.9
rice,5.1,25.4,69.6,93,52.6,56.8
rice,5.3,30.5,71.8,90.4,55.2,57.4
rice,5.5,39.8,77.2,96.4,52.3,44.4
rice,5.4,38.8,72.4,84.7,46.7,51.5
rice,5.4,39.9,61.7,95.6,45.7,51.4
rice,5.2,35.2,67.2,81.7,53.3,54.8
rice,5.4,33.8,73,84,43.9,41.6
rice,5.6,35.8,72,89.4,57.1,49.8
rice,5.2,28.3,67.6,89.5,50.4,51.6
rice,7.8,29.6,64.6,87,54.6,40.1
rice,5,20.5,63.4,97.6,40.9,59.4
rice,6.1,37.9,74.6,82.2,51.9,52.1
rice,6.3,39,69.4,84.9,44.4,48.4
rice,7.1,33.4,73.1,91.3,48.9,57.5
rice,7.8,34.1,78.6,98.1,56.9,50.7
rice,7,33.4,78.7,86.6,48.6,48
rice,7.4,27,74.5,99.1,51.2,44.9
rice,5.8,31.8,68.5,85.9,53.6,53.6
rice,6.1,39.8,72.6,90.9,57.9,59.4
rice,7.4,27.1,75.3,81.5,54.8,41.7
rice,7.8,39,63.8,88.5,58.7,50.7
rice,6.5,30.8,62.3,91.8,45.6,54.3
rice,7.9,25.7,70.3,88.2,42.7,52.5
rice,5.1,31.3,76.1,88.4,55.6,55.3
rice,5,20.4,62.6,90.5,51.1,58.2
rice,7.4,30,66.8,95.7,57.1,42.2
rice,6.8,21.1,78.5,83.6,49.6,55.9
rice,7.1,26.2,67.8,99,44.2,42.7
rice,5.7,22.8,69.8,98.6,43.3,41.1
rice,7.1,24.7,63.2,95.2,54.2,44.1
rice,7.7,21,69.1,98.8,51.7,57.7
rice,7.2,33.8,78.7,98.7,59.1,50
rice,5.7,26.2,66,95.1,45.1,46.9
rice,6.3,39.2,79.3,90.7,47.1,48.2
rice,6.2,38.8,63.6,84.2,44.3,51.5
rice,5.6,38.5,61.3,92.3,41,47.7
rice,6.2,22,76.2,94.9,43.7,45.2
rice,5.2,28,62.4,90.5,45.6,56.8
rice,5.6,25.2,66.7,86.3,58.2,43.1
rice,6.9,22.8,75.3,83.7,54.4,54.2
rice,7.2,33.1,73.6,100,46.1,54.1
rice,5,28.6,65.6,99.4,40.1,54.7
rice,5.2,32.1,70.7,93.4,46.7,58.2
rice,7.9,25.7,64.7,93.3,52.8,45.5
rice,5.4,35,60.2,83.9,42.7,50.2
rice,7.6,36.1,68.3,97.4,43.3,50.4
rice,7.4,35.7,71,80.5,54.3,49.1
rice,7.9,38.7,74.1,91.8,41.4,45.9
rice,6,38.1,68.1,87.9,58.5,58.2
rice,6.1,31.8,73.3,94.3,40,48.3
rice,6.5,21.4,67.2,86.2,59.7,45.2
rice,6.1,26.5,63.7,87.2,59.6,53.3
rice,5.1,39.1,79.1,81.3,59.2,55.7
rice,7.5,28.8,66.1,92.5,44.7,43.1
rice,6.6,34,70.7,80.5,57.3,51.4
rice,6.4,33.1,68.2,82.1,40.9,50
rice,5.9,39.5,72.4,89.1,40.2,47.1
rice,7.2,26.7,63.1,86.6,40.1,53.9
rice,7.4,38.1,65.2,96.6,54.9,58.1
rice,5.7,26.8,73.7,81.5,58.8,51.2
rice,6.4,29.4,69.7,89.6,57.1,48.8
rice,6.9,34.3,60.1,92.2,56.9,45.4
rice,6.8,22.2,64.5,92.5,50.1,51.9
rice,7.7,24.4,80,97.3,57.5,59.4
rice,5.7,33.3,72.8,83.3,53,41.4
rice,5.3,25,72.7,94.5,58.5,55.5
rice,7.3,25.4,74.9,80.2,45.6,49.8
rice,6.3,21.4,66.8,94.1,40.6,52.4
rice,6.1,31.1,66.4,82.4,43.4,50.2
rice,6.4,25.6,69.3,94.2,40.5,41.1
rice,6.7,33.9,67.2,83.4,51.1,47.2
rice,6.8,37.3,75.2,90.8,43.7,47.6
rice,7.4,30.3,68.2,83.4,49.8,41.4
rice,5.9,25.7,78.4,88,58.1,55.4
rice,7.3,28.3,65,83.7,55.8,50
rice,6.6,39.4,69.2,88.4,48,46.9
rice,8,23.5,76,97.1,49.2,53.2
rice,5.9,30.7,69.2,94.1,50.3,45.3
rice,5.1,22.6,63.2,86.7,51.4,43.6
rice,7,25.8,62.9,82.1,48.5,49.9
rice,7,31.7,73.8,89.5,47.8,40.2
rice,6.1,22.7,64.7,89,47.6,49.2
rice,5.4,37.1,76.6,91.5,52.4,57.7
rice,6.9,23.1,70.3,87.3,41.1,41.7
rice,6.6,26.6,70.9,88.4,50.4,48.2
rice,5.4,32.7,76.4,95,48.4,55.7
rice,7.1,23.8,70.6,98.6,59.4,47.6
rice,5.3,39.7,65,97.4,45.6,42
rice,5.8,34.5,73.5,90.4,49.5,42.4
rice,6.5,33,66.2,81.8,49.8,44.5
rice,6.8,29.3,78.1,86.2,59.8,51.8
rice,7,33.2,71.3,82.7,49.2,44.2
rice,5.8,32.8,67.7,89.1,55.8,59.4
rice,7.9,21.5,66.1,90.7,58.3,48.6
rice,6.1,29.1,74.9,83.2,56,52.8
rice,7.7,27,64.9,91.7,57.2,45.7
rice,6.2,28.9,69,90.1,52.9,43.3
rice,5.7,36.1,64.8,90.4,49.6,46.4
rice,6.1,37.8,65.7,88.5,52.4,44.5
rice,7,31.9,76,99.6,40.3,40.4
rice,5.8,24,62.9,84.1,49.3,53.6
rice,7.4,38.6,75.2,92,47.3,48.7
rice,6.2,21.4,68,82.5,59.1,42.4
rice,5.4,35.6,77.7,97.8,53.5,47.5
rice,5.6,28.3,62.6,83.4,48,55.4
rice,6.1,30.1,63.5,84,50.9,59.7
rice,5.6,21.2,71.5,82,42.1,59.7
rice,7.7,30.3,65.7,90.4,58.8,55.1
rice,6.2,25.7,70.2,81,50.1,59.4
rice,5,29.5,78.6,91.5,41.2,54.9
rice,7.8,29.4,61.2,90.3,51.4,45.1
rice,5.8,25.3,68.9,82.3,54,47.1
rice,5.2,21.2,70,86.8,40.7,41.3
rice,7.7,39.5,62.8,97.5,59.3,52.7
rice,7.4,23.9,63.8,84.1,49.8,59.5
rice,6.7,36.5,75.3,87.1,52.6,53.7
rice,7.4,25.2,71.4,87.9,41.8,51.5
rice,7.5,21.2,72.4,83.5,56.4,50.6
rice,5.7,24,78.9,92,43.4,49.8
rice,6.5,29.2,75.2,87.8,43,52.5
rice,7.5,26.3,66.8,99.4,53.7,58.4
rice,7.2,28.9,62.6,98.4,42,55
rice,5.8,28.7,70.1,85.3,51.8,50.3
rice,5.1,29.9,74.3,83.8,44.4,45.8
rice,6.8,29.4,76.6,89.9,54.2,49.6
rice,6,27.7,71.6,86.8,40.6,50.5
rice,5,28.4,68,87,45.3,55.8
rice,6.4,33.1,64.5,92.7,45.5,40.1
rice,5.4,22.1,64.2,98.3,53,41.8
rice,6.7,39.2,76.4,85,55.8,54.4
rice,6.6,34.1,60.8,81.5,42.9,40.5
rice,5.7,26.7,68.5,87.9,55.4,54.8
rice,7.4,31.9,79.2,88.8,55.3,47.4
rice,5.9,26.6,60,87.8,41.8,46.5
rice,7.9,30.9,79.5,83.3,44.6,46.8
rice,6.7,32.6,68.4,96.6,46.2,57.3
rice,7.6,22.8,68.2,86.1,53.7,59.6
rice,6.3,37.6,63.7,83.2,58.4,40.5
rice,5.2,30.8,61.9,85.9,44,57
rice,5.7,26.3,76.2,93.2,53,41.3
rice,7.8,30.8,62.7,98.2,48,58.5
rice,6.8,30.6,60.4,85.4,44,54
rice,6.9,28.7,60.2,96.1,46,57.5
rice,5.9,33.1,74.9,86.1,56.9,43.6
rice,6.3,26.9,61.7,95,42.6,46.3
rice,7,31,64.6,93.5,48.5,50.1
rice,7.1,24.3,64,97.3,55,54.6
rice,6.2,24.3,68.5,88.4,50.3,54.2
rice,6.6,26.5,66.4,88.4,53.5,56.1
rice,6.5,24.5,69,80.3,48.9,43.4
rice,6.4,39.9,74.5,97.8,44.9,46.8
rice,5.1,39.8,75.9,91.1,42.9,58.7
rice,6.2,21,63.1,84.8,50.2,57.4
rice,5.2,32.5,76.5,85,45.1,58
rice,7.5,27,66.6,85.6,58,44.9
rice,8,36.6,77.7,83.9,54.6,42.5
rice,6.1,36.7,65.1,88.4,49.2,59.7
rice,7.4,21.3,63.6,81.5,53.2,54.2
rice,6.6,35.6,79.1,92.5,51.4,41.6
rice,6.7,27.6,62.6,84.2,55.1,40.7
rice,5.6,31.5,71,94.5,44.6,48.4
rice,5.8,39.4,74.9,86.6,57.6,43
rice,6.3,22.1,74.4,87.6,52.6,55.7
rice,5.8,34.7,79.1,97.2,48.8,54.2
rice,5.2,27.9,75.3,99.2,51.9,58.8
rice,6.5,34.2,71.7,92.1,59,52.1
rice,6.3,30.2,68.7,95.2,50.9,44.6
rice,6,37.9,60.3,82.5,45.6,54.6
rice,6.4,28.8,64.6,87.7,53,50.1
rice,6.6,23,66.4,88.3,55,59
rice,7,20.6,62.3,89.8,57.8,59.7
rice,5.2,36.4,69.6,96.9,49.6,56.4
rice,6.5,39.3,60.7,95.9,58.3,41.1
rice,5.2,33.9,61.5,87.1,40.8,45.2
rice,5.6,29.2,67.9,98.9,43,45.4
rice,7.9,26.2,76.5,92.3,59.5,59.6
rice,6.7,35.1,76.8,95.1,53.5,50.3
rice,7.5,37.1,77.9,97.2,46.2,43.4
rice,5.9,38.5,60.5,88.8,49.4,42.2
rice,7.9,32.1,61,88.7,44.9,56
rice,7.7,36.3,78.1,84.7,52.7,51.1
rice,7.2,28.8,68.3,82.3,51.5,48.1
rice,5.4,20.5,78.3,97.2,56.7,52.7
rice,7.6,25.6,77.4,87.6,56.2,54.1
rice,6.5,35.1,69.8,81.6,41.9,58
rice,6,20.6,69.5,83.5,53.5,43.6
rice,7.8,23.2,79.4,90.1,53.8,55
rice,6.1,29.4,75.3,92.8,45.8,43.7
rice,7,25.3,76.8,85.4,43.3,59.5
rice,7.6,37.5,70.9,85.8,48.5,45.1
rice,7.9,22.8,73.7,99.2,58.1,42.4
rice,6.3,22.1,63.9,91.4,53.5,54.9
rice,6.1,29,79,89.8,44.5,46.4
rice,5.1,36.2,75.9,96.9,41.5,46.1
rice,5.3,27.6,70.7,84.9,59.2,41.4
rice,8,37.1,68.8,97,57.9,51.3
rice,6.8,25.7,68.3,93.7,46.3,52.6
rice,6.1,24.7,60.1,96.7,44.2,40.2
rice,5.4,33.6,68,94.8,50.4,57
rice,7.7,30.2,72.8,80.1,54.4,59.6
rice,6.7,35.2,68.1,85.6,48.1,55.6
rice,6.4,33.5,63.3,81.6,55.4,57.9
rice,7.8,34.5,72,81.6,53.9,48.1
rice,6.3,38.2,66.2,86,57.4,51.4
rice,5.2,22,74.6,97.4,42.4,52.2
rice,6.5,29.6,67.4,81.5,47,46.7
rice,7.8,38.9,70.2,98.6,56.4,55.4
rice,5.3,20.6,68.7,92.2,46,55.9
rice,5.2,37,76.1,97.7,49.1,41.3
rice,7.3,27.7,66.9,94.5,59.9,40.8
rice,8,26.8,60.1,91.5,47.5,59.2
rice,7.4,26,74.5,98,41,47.3
rice,5.6,27.7,68.1,84.2,40.8,57.4
rice,5.7,37.2,74.9,88.3,56.4,49.7
rice,7.5,38.5,73,81.6,47.7,50.8
rice,7.7,33.9,63.9,88.9,59,49.7
rice,7.7,27.7,73.5,86.9,52.4,40.5
rice,7.2,30.4,79.3,85.5,44.7,46
rice,6.8,31.2,62,94.2,45,43
rice,7.3,26.8,67.4,94.5,55.4,50
rice,5.3,24.1,60.5,90.6,52,49.3
rice,7.9,31,64.1,86.9,45.1,51.8
rice,6.4,28.1,72.1,81.5,53.2,50.5
rice,5.3,34.5,78.3,91.6,45.5,54.5
rice,7.5,36.1,77.5,99.9,56.2,47.9
rice,7,36.6,71.2,81,56.2,51
rice,6.5,22.2,62.6,89.5,56.9,59.3
rice,8,32,70.5,93.7,48.9,47.3
rice,5.7,37.7,64.2,90.8,45.4,43.7
rice,5,37.2,61.5,89.3,42,52.4
rice,5.6,27.9,78.2,92.4,42.5,43.1
rice,5.5,25.8,67.2,87.7,59,46
rice,6.1,31.9,71.1,93.4,53.4,55.1
rice,7.3,31.6,71,91.5,48.8,57.1
rice,5.9,31,65.1,83.2,49.4,54.2
rice,5.5,21.9,67,87.6,44.6,52
rice,7.3,34.9,73.7,82.5,46.5,56.3
rice,6.6,22.3,76,83.1,56.8,54.9
rice,7.9,38.5,61,82.6,48.4,51.2
rice,7.5,23.1,70.1,99.3,54.4,40.7
rice,7.9,38.5,73.2,94.6,55.9,42.5
rice,7.5,39.3,66.2,94.4,48.5,53.5
rice,7.3,24.4,68.5,93.9,51.8,46.7
rice,7.9,24.1,66.7,93.9,53.1,48.1
rice,7.4,21,64,96.3,44,42
rice,5.5,24.1,72.1,94.9,45.2,54
rice,5.1,34.5,75.7,91.9,51,50.7
rice,6.8,35.6,65.5,80.3,51.1,55.8
rice,7.7,33.3,71.6,93.1,46,52
rice,6.5,35.5,61.6,87.1,44,45.1
rice,7.6,40,61.6,80.5,45.1,52.8
rice,5.1,21.3,63.3,86.2,53.9,50.9
rice,7.9,30.2,67.5,85,54.2,54.6
rice,6.1,36,63.7,91.7,57.9,46.5
rice,5.1,36.1,79,96.6,56.9,54.1
rice,7,24.1,78.1,92.4,49.1,40
rice,7,21.3,78.1,85.9,41.4,49.4
rice,5.2,27.4,75.3,85.2,55.3,40.6
rice,6.2,21.7,77.4,97.1,55.9,56.7
rice,6.3,36,69.9,84.6,44.3,57.6
rice,6.9,24.6,70.6,89.9,44.1,59.4
rice,5.1,30.5,66.5,99.6,54.7,57.1
rice,5.9,25.6,74.4,92.1,50.3,58.6
rice,5.7,29.4,70.9,85.2,40.5,44.1
rice,5.5,28.2,69.2,98.7,52.4,48.7
rice,5.4,39.4,66.1,92.9,57.4,50.4
rice,6.6,28.1,67,99,57.9,51
rice,7,30.5,65.7,80.1,45.5,57.6
rice,7,20.7,76.9,84,49,53.9
rice,7.6,32.9,68.5,98.1,45,43.3
rice,7.8,26.1,75.8,83.5,59.4,59.4
rice,7,26.5,76.2,92.5,41.8,56.5
rice,6.5,30,60.2,85.1,59,47
rice,6.7,26,68.4,96.6,46.9,45.8
rice,6.3,31.2,71.9,83.7,57.7,41.4
rice,6.2,24,60.6,86.7,44.4,50.2
rice,5,23.3,64.6,95.4,46.1,42.7
rice,5.1,28.4,72.7,85,50.6,50.4
rice,7.3,30.7,77.6,97.5,43.9,55.9
rice,6.1,27.5,69.5,80.2,55.2,51.7
rice,5.4,21.7,61.8,93.2,53.1,50.4
rice,5.4,31.6,63.5,88.6,42.8,43.1
rice,7.2,39,70.7,94.2,40.1,51.1
rice,6.5,31.5,72,84.6,41.6,43.8
rice,6.9,35.1,63.8,90.8,44.8,43
rice,6.7,22.4,66.7,94.3,44.4,42.3
rice,6.1,21.3,69.8,92.4,48.8,54.1
rice,6.9,27.5,60.4,86.2,52.4,46
rice,5.4,21.5,62.3,99.8,43.4,49.5
rice,6.6,38.7,69.8,99.8,59.5,47.2
rice,5.3,29.9,79.1,80.5,45.7,47.4
rice,5.5,24.9,79.8,82,42.4,57.5
rice,7,34.8,62.8,83.4,51.6,42.1
rice,6.9,23.9,61.2,91.4,55,56.2
rice,5.6,20.5,61.1,83.5,46.4,56.8
rice,5.6,27.9,77,87.3,56.7,60
rice,5.9,27.2,68.6,81.3,46.9,53.8
rice,6.4,33.5,60.6,99.8,59,54.4
rice,6,25,73,92.7,51.5,52.9
rice,5.7,22.5,79.4,87.7,47.6,58.9
rice,5.9,20.3,67.1,84.3,46.7,41.9
rice,6.4,39.7,71,86.8,43.8,55.8
rice,5.9,22.4,75.1,94.7,57.2,54.4
rice,6.4,37.7,74,93.3,52.3,59.2
rice,6.5,27,70,89.1,56.8,51.3
rice,5.5,20.3,60.5,82.4,42.7,45.7
rice,8,24,70.7,82.6,54.9,49
rice,5.4,37.6,73.2,87.9,56.2,45.3
rice,7.2,28.8,73,88.9,49.7,57.6
rice,5.3,22.1,70.1,93.6,57.9,51.7
rice,5.1,34.9,65.5,98.1,59.3,53.7
rice,5,29.7,73.9,99.7,40.1,48.5
rice,6.2,30,61.1,81,43.6,42.7
rice,7.8,30.9,77,94.2,46.2,57.6
rice,6.5,36,75.7,88.7,46.9,58
rice,7.4,35.8,72.9,87.1,57.4,59
rice,7.3,26.1,60.6,95.6,53.3,44.7
rice,6.1,29.9,79.1,83.9,44.8,44.6
rice,5.3,26.1,68.9,83.1,51.3,40
rice,6.6,24.7,80,96.6,52.4,50.2
rice,7.9,24.8,75.7,83.9,48.3,52.5
rice,5.5,31.9,74.1,92.4,52.9,45.3
rice,6.7,38.8,67.5,84.6,48.9,44.8
rice,5.8,33.4,68.8,97.1,48.9,40.8
rice,6.1,21.2,65.5,85.1,58.1,54.2
rice,5.3,34.5,74.2,81.9,53.3,42.7
rice,6.6,24.7,76.1,90.5,56.6,54.4
rice,6.3,39,70,92.8,47.1,46.3
rice,7.5,24.7,76.8,95.5,53.1,44.4
rice,5.5,39.7,60.9,92.3,44.2,48.7
rice,5.5,39.3,68.4,98.7,46.9,44.1
rice,7.5,39.9,60,92.1,59.9,52.8
rice,7.8,32.7,79,96.2,50.2,56.7
rice,5.6,28.6,75.7,98.3,57,51.8
rice,7.3,24.5,65.6,86.7,41,40.4
rice,6.1,24.6,60.6,95.9,58.6,41
rice,6.6,33.1,77.1,90.6,54.5,56.7
rice,6.6,31.8,73.4,96.4,60,45.3
rice,5.1,25.8,60,91.5,59.3,59.6
rice,8,33.7,70.2,91.7,40.5,48.8
rice,6.9,23,68.6,83.8,57,45.7
rice,7.6,27.4,70.7,88.2,41,42.8
rice,6.1,30.4,61.7,89.9,45.8,42.1
rice,7.7,32.4,75.4,98.5,51.8,47
rice,6.6,27.1,80,94.7,40.2,47.2
rice,5.5,30.9,78.4,82.8,44.1,53.5
rice,5.9,23.2,73.4,98,41.3,59.6
rice,5.2,24.6,74.4,96.3,55.7,54.7
rice,5.3,25.7,67,80.1,54.8,42.8
rice,5.7,32.9,76.2,95.1,40.5,52.3
rice,5.1,37.6,70,99,54,46.2
rice,5.6,26.6,65.7,85.4,46.6,48.7
rice,5.7,24.4,68.3,85.3,48.2,54.5
rice,6.7,33.5,72,92.3,58.4,42.7
rice,5.3,24.9,70.2,86.6,55.9,46.8
rice,7.2,23.4,68.7,93.1,57.7,48.3
rice,7,30.8,68,89.2,57.1,43.7
rice,5.2,34.2,78.5,84.5,57.5,54.8
rice,7.2,23.6,67,88.4,56,59
rice,8,24.7,77.3,82.3,49.7,53.5
rice,6.8,32.4,74.5,99.8,56.8,48.2
rice,7.1,30,68.2,99.3,59.3,44.6
rice,7.7,37.8,63.1,94,43.8,47.3
rice,5.3,24.1,66.7,90.1,40.9,43
rice,6.9,31.3,79.3,92.1,55.6,47.6
rice,7.4,39.4,69,87.8,58.1,56.8
rice,7.7,35.1,66.3,89.9,48.3,50.9
rice,6.6,28.4,64,99,49,52.7
rice,5.5,29.3,78.2,86.2,40.4,55.8
rice,5.2,33.9,67.7,88.2,42.2,42.7
rice,6.3,22,74.6,90.8,47.3,41.1
rice,6.6,26,60.3,91.9,45.3,48.8
rice,7.9,22.8,78.3,90.7,44.3,45.4
rice,5.8,21.9,65.5,89.4,59.1,57.7
rice,6.3,28,69.9,81.7,41.5,50.5
rice,6.2,20.7,78.6,87.1,44.1,53.8
rice,5,21.2,78.2,92.3,55.3,50.9
rice,5.5,23.6,65.1,80.3,50.2,51.6
rice,6.8,39.4,62.6,86.7,58.6,46.4
rice,7.5,26.3,71.7,89.9,54.9,55.1
rice,7.3,34,76.5,89.6,47,42.5
rice,7.1,28,62.7,81.5,49.1,56.9
rice,5.7,25.5,72.5,96.4,48.7,58.7
rice,6,30.6,76.2,86.1,47.8,58.8
rice,7.9,25.1,66.8,90.6,54.5,56.9
rice,7.6,33.2,76.3,96.4,53.7,58.3
rice,5.1,36.2,74.7,80.7,46.1,56
rice,7.9,26.4,65.7,93.3,52.6,56.4
rice,6,20.9,69.5,85.4,41.2,54.2
rice,5.4,36.7,71.1,88,57.5,44.5
rice,6.4,33.5,76,92.3,57.4,54.3
rice,7.1,30.6,70.4,84.9,50,42.1
rice,6.8,21.5,75.7,81.8,47.4,54.6
rice,7,24.5,63.6,84.3,54.2,51.8
rice,7.2,28.7,76.7,81.7,47.8,40.4
rice,5.2,23.2,72.3,84.4,55,53.9
rice,5.8,29.6,60.3,85.6,49.9,44.9
rice,6.2,38.7,72.7,81.7,45.2,42.6
rice,6.5,27.3,61,97.6,49.2,42.3
rice,7.2,34.1,63.4,83.3,41.4,57.2
rice,7.9,33,78.5,87.5,42.9,42.1
rice,5.2,28.1,77,99.7,59.5,41.7
rice,5.5,32,74.7,94.8,46.3,51.9
rice,7.8,33.2,65.4,95.6,40.4,49.5
rice,6.4,31.2,75.4,83,57.6,42.7
rice,7.4,24.2,64.4,91.1,43.4,59.3
rice,7,36.2,68.3,85,40.7,44.7
rice,6.5,23.3,78.9,84,48.5,40.2
rice,7.4,31.1,78.7,98.9,51.2,47.5
rice,6.4,23.1,68.1,90.8,57.3,45
rice,7.7,24.7,60.8,88.9,50.3,46.8
rice,6.2,27.2,76.9,98.4,41.2,48.5
rice,5.1,32.1,63.1,90.7,44.7,44.5
rice,7.2,20.1,72.7,81.5,55.5,51.9
rice,7.2,37.2,78.4,98,41.5,51.4
rice,7.3,36.5,77.1,89.6,46.5,58.6
rice,7.2,27.2,75.1,83.2,43.3,49.5
rice,6.7,20.8,66.7,87.5,53.6,55.1
rice,5.1,39.6,75.6,86.1,56.9,49.5
rice,5.7,37.4,72.5,94.3,55.2,57.2
rice,7.7,34.4,69.4,82.9,48.2,48.5
rice,6.5,24.3,69.9,96.3,49.6,41.5
rice,6.4,35.1,66.7,93.3,50.7,57.3
rice,5.5,38.4,78.5,90.9,52.3,40.8
rice,5.8,26.6,61.5,82.8,54.9,44.2
rice,8,25,79.2,91.5,59.9,59.5
rice,7.7,23.4,74.9,93.1,48.1,55.9
rice,6.1,29.3,75.9,92.7,46.4,56.6
rice,7.2,35.6,74,82.2,48.7,49.3
rice,7.6,20,62,82.6,48.8,41.6
rice,7.9,34.7,79.1,97,55.3,40.9
rice,7.2,21.6,61.4,99.2,55.8,49.2
rice,5.8,23.2,64.7,93.6,55.2,57.9
rice,6.4,31.8,78,91.8,51.7,41.7
rice,7.8,26.3,70,96.3,48.2,50.9
rice,6.7,29.3,65.3,99.9,41.2,41.3
rice,6,29.7,74.4,96.1,51.4,43.7
rice,5.6,25.7,64.5,96,50.2,40.5
rice,7.1,37.2,66,99.8,56.5,48.6
rice,5.3,39.4,62.3,99.7,44.1,52.2
rice,5.3,34.7,63.4,95.1,48.3,57
rice,5.4,26.1,68.6,85.5,42.5,59
rice,6.7,38.9,63.6,99.2,51.9,42.3
rice,5.4,37.9,79.7,99.3,41.5,51.6
rice,7.6,28.3,71,87.9,56.3,53.8
rice,6.5,27,74.1,92,49.1,42.1
rice,6.2,31.4,62.8,99.9,51.9,42.8
rice,7.2,21.5,67.7,98.9,59.2,47.3
rice,5.3,35.1,63.1,81.4,59.3,51.7
rice,8,21.9,76.5,88.3,53.6,45.4
rice,5.1,32.2,72.6,84.1,43.2,40.3
rice,7.5,28.2,66.9,88.8,55.1,44.6
rice,6.8,27,75.6,80.2,59.1,56.1
rice,7,22.3,62,82.4,45.8,50.2
rice,5.6,26.3,66.6,92.4,49.7,47.1
rice,7.4,36.3,78,87.1,43.6,58.8
rice,6.1,38.4,74.4,92.8,40.4,53.7
rice,6.4,24.7,60.9,82.6,42.5,42.8
rice,7.3,34.3,76.5,88.3,43.5,55
rice,7.5,30.9,75.8,87.2,47.9,54.1
rice,5.8,33.9,68.9,82.5,53.1,43.2
rice,5.8,32.4,69.5,90.5,53,41.5
